retweets,likes,Subjectivity,Polarity
0,2,0.0,0.0
0,1,0.4,-0.1
134,0,0.0,0.0
0,2,0.2,0.0
6,0,0.0,0.0
0,1,0.7,0.3
238,0,0.2,0.1
523,0,0.0,0.0
523,0,0.0,0.0
0,1,0.5,0.3
4,0,0.5,0.2
2,0,0.0,0.0
0,1,0.4,-0.2
0,1,0.5,0.0
4,0,0.5,0.2
0,6,0.6,0.4
0,17,0.0,0.0
142,0,0.6,0.6
1,0,0.2,0.2
2,0,0.5,0.0
1,11,0.5,0.5
4,0,0.5,0.2
54,0,0.0,0.0
26,0,0.5,0.0
24,0,0.2,0.2
0,1,0.3,-0.0
3,0,0.2,0.0
0,2,0.5,0.3
1,5,0.2,0.1
77,0,0.4,0.2
2,12,0.4,0.4
0,1,0.2,0.1
130,0,0.8,0.4
0,1,0.3,0.3
46790,0,0.0,0.0
0,13,0.2,-0.1
46790,0,0.0,0.0
26,0,0.5,0.0
768,0,0.2,-0.1
1,0,0.0,0.0
416,0,0.0,0.0
197,0,0.0,0.0
6,0,0.0,0.0
41,0,0.0,0.0
16,0,0.3,0.3
26,0,0.5,0.0
66,0,0.0,0.0
0,1,0.7,0.6
238,0,0.2,0.1
142,0,0.6,0.6
33,0,0.0,0.0
0,36,0.3,0.2
6,21,0.6,-0.3
768,0,0.2,-0.1
0,2,0.0,0.0
130,0,0.8,0.4
1,8,0.9,0.2
0,6,1.0,0.0
46788,0,0.0,0.0
0,1,0.8,0.0
46788,0,0.0,0.0
238,0,0.2,0.1
22,0,0.0,0.0
0,1,0.4,-0.1
130,0,0.8,0.4
523,0,0.0,0.0
768,0,0.2,-0.1
0,13,0.3,0.2
159,0,0.2,-0.0
4,0,0.5,-0.3
1,6,0.2,-0.2
54,0,0.0,0.0
0,2,0.7,0.3
0,1,0.6,0.1
142,0,0.6,0.6
3,0,0.1,0.0
1,0,0.0,0.0
46788,0,0.0,0.0
130,0,0.8,0.4
0,1,0.0,0.0
18,0,0.0,0.0
0,4,0.5,0.3
147,0,0.0,0.0
130,0,0.8,0.4
0,1,0.7,0.2
0,1,0.4,0.3
8,1555,0.0,0.0
0,1,0.0,0.0
0,1,0.3,-0.2
0,3,0.0,0.0
21,0,0.0,0.0
46788,0,0.0,0.0
142,0,0.6,0.6
19,0,0.0,0.0
238,0,0.2,0.1
523,0,0.0,0.0
0,3,0.7,0.1
147,0,0.0,0.0
12,24,0.0,0.0
0,1,0.2,0.1
0,1,0.2,-0.2
8,0,0.3,0.2
1,0,0.2,0.2
523,0,0.0,0.0
0,2,0.5,-0.2
1,0,0.5,0.1
307,0,0.0,0.0
2,0,0.0,0.0
523,0,0.0,0.0
238,0,0.2,0.1
0,1,0.0,0.0
46797,0,0.0,0.0
1,4,0.2,0.1
46797,0,0.0,0.0
1,22,0.0,0.0
24,0,0.2,0.2
0,1,0.3,0.2
0,16,0.3,0.2
0,1,0.0,0.0
238,0,0.2,0.1
523,0,0.0,0.0
0,1,0.0,0.0
523,0,0.0,0.0
41,0,0.0,0.0
416,0,0.0,0.0
19,0,0.0,0.0
0,2,0.6,0.0
0,2,0.4,0.1
1,1,1.0,0.3
1,1,0.1,0.0
4,0,0.5,-0.3
22,0,0.0,0.0
147,0,0.0,0.0
523,0,0.0,0.0
26,0,0.5,0.0
523,0,0.0,0.0
1,3,0.7,0.6
0,5,0.0,0.0
0,1,0.4,0.0
33,0,0.0,0.0
147,0,0.0,0.0
18,0,0.0,0.0
307,0,0.0,0.0
3,5,0.2,0.1
0,2,1.0,0.8
1,0,0.7,0.0
18,0,0.0,0.0
1,0,0.6,0.0
523,0,0.0,0.0
46797,0,0.0,0.0
1,0,0.5,-0.1
10,0,0.4,0.1
0,14,0.5,0.5
18,0,0.0,0.0
